start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763733538207,1763733539234,1027,3936,3332,834.966346,3.286428,0.238197,3.375161,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733539234,1763733539508,274,3936,3332,834.966346,3.286428,0.06355,0.900481,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733539508,1763733539514,6,3936,3332,834.966346,3.286428,0.001392,0.019719,com.google.android.youtube,True,False,True,True,False,False,False,False,*job*/com.facebook.appmanager/com.facebook.oxygen.common.jobqueue.JobQueueService
1763733539514,1763733539532,18,3936,3332,834.966346,3.286428,0.004175,0.059156,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733539532,1763733539733,201,3936,3332,834.966346,3.286428,0.046619,0.660572,com.google.android.youtube,True,False,True,True,False,False,False,False,RILJ_ACK_WL
1763733539733,1763733539866,133,3936,3332,834.966346,3.286428,0.030847,0.437095,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733539866,1763733539872,6,3936,3332,834.966346,3.286428,0.001392,0.019719,com.google.android.youtube,True,False,True,True,False,False,False,False,*job*/com.facebook.appmanager/com.facebook.oxygen.appmanager.update.core.UpdateService
1763733539872,1763733540098,226,3936,3332,834.966346,3.286428,0.052417,0.742733,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733540098,1763733540101,3,3936,3332,834.966346,3.286428,0.000696,0.009859,com.google.android.youtube,True,False,True,True,False,False,False,False,*alarm*:TIME_TICK
1763733540101,1763733540143,42,3936,3332,834.966346,3.286428,0.009741,0.13803,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733540143,1763733540150,7,3936,3332,834.966346,3.286428,0.001624,0.023005,com.google.android.youtube,True,False,True,True,False,False,False,False,Icing
1763733540150,1763733540151,1,3936,3332,834.966346,3.286428,0.000232,0.003286,com.google.android.youtube,True,False,True,True,False,False,False,False,Icing
1763733540151,1763733540191,40,3936,3332,834.966346,3.286428,0.009277,0.131457,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733540191,1763733540197,6,3936,3332,834.966346,3.286428,0.001392,0.019719,com.google.android.youtube,True,False,True,True,False,False,False,False,*telephony-radio*
1763733540197,1763733540221,24,3936,3332,834.966346,3.286428,0.005566,0.078874,com.google.android.youtube,True,False,True,True,False,False,False,False,*telephony-radio*
1763733540221,1763733540226,5,3936,3332,834.966346,3.286428,0.00116,0.016432,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733540226,1763733540229,3,3936,3332,834.966346,3.286428,0.000696,0.009859,com.google.android.youtube,True,False,True,True,False,False,False,False,*telephony-radio*
1763733540229,1763733540233,4,3936,3332,834.966346,3.286428,0.000928,0.013146,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733540233,1763733540240,7,3936,3332,834.966346,3.286428,0.001624,0.023005,com.google.android.youtube,True,False,True,True,False,False,False,False,*job*/com.facebook.appmanager/com.facebook.oxygen.appmanager.update.core.UpdateService
1763733540240,1763733540631,391,3936,3332,834.966346,3.286428,0.090687,1.284993,com.google.android.youtube,True,False,True,True,False,False,False,False,*launch*
1763733540631,1763733540703,72,3936,3332,834.966346,3.286428,0.016699,0.236623,com.google.android.youtube,True,False,True,True,False,False,True,False,*launch*
1763733540703,1763733540840,137,3936,3332,834.966346,3.286428,0.031775,0.450241,com.google.android.youtube,True,False,True,True,False,False,True,False,
1763733540840,1763733540841,1,3936,3332,834.966346,3.286428,0.000232,0.003286,com.google.android.youtube,True,False,True,True,False,False,True,True,
1763733540841,1763733540846,5,3936,3332,834.966346,3.286428,0.00116,0.016432,com.google.android.youtube,True,False,True,True,False,False,True,True,screen
1763733540846,1763733541150,304,3936,3332,834.966346,3.286428,0.070508,0.999074,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733541150,1763733541174,24,3936,3332,834.966346,3.286428,0.005566,0.078874,com.google.android.youtube,True,False,True,True,False,False,True,True,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation
1763733541174,1763733541576,402,3936,3332,834.966346,3.286428,0.093238,1.321144,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733541576,1763733541655,79,3936,3332,834.966346,3.286428,0.018323,0.259628,com.google.android.youtube,True,False,True,True,False,False,True,True,NetworkStats
1763733541655,1763733542534,879,3936,3332,834.966346,3.286428,0.203871,2.88877,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733542534,1763733542732,198,3936,3332,834.966346,3.286428,0.045923,0.650713,com.google.android.youtube,True,False,True,True,False,False,True,True,RILJ_ACK_WL
1763733542732,1763733542736,4,3936,3332,834.966346,3.286428,0.000928,0.013146,com.google.android.youtube,True,False,True,True,False,False,True,True,RILJ_ACK_WL
1763733542736,1763733542768,32,3936,3332,834.966346,3.286428,0.007422,0.105166,com.google.android.youtube,True,False,True,True,False,False,True,True,NetworkStats
1763733542768,1763733543820,1052,3936,3332,834.966346,3.286428,0.243996,3.457322,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733543820,1763733543843,23,3936,3332,834.966346,3.286428,0.005335,0.075588,com.google.android.youtube,True,False,True,True,False,False,True,True,NetworkStats
1763733543843,1763733545224,1381,3936,3332,834.966346,3.286428,0.320302,4.538556,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733545224,1763733545225,1,3936,3332,834.966346,3.286428,0.000232,0.003286,com.google.android.youtube,True,False,True,True,False,False,True,True,*telephony-radio*
1763733545225,1763733545230,5,3936,3332,834.966346,3.286428,0.00116,0.016432,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733545230,1763733545264,34,3936,3332,834.966346,3.286428,0.007886,0.111739,com.google.android.youtube,True,False,True,True,False,False,True,True,*telephony-radio*
1763733545264,1763733545269,5,3936,3332,834.966346,3.286428,0.00116,0.016432,com.google.android.youtube,True,False,True,True,False,False,True,True,*telephony-radio*
1763733545269,1763733545370,101,3936,3332,834.966346,3.286428,0.023425,0.331929,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733545370,1763733545454,84,3936,3332,834.966346,3.286428,0.019483,0.27606,com.google.android.youtube,True,False,True,True,False,False,True,True,*gms_scheduler*:internal
1763733545454,1763733545522,68,3936,3332,834.966346,3.286428,0.015772,0.223477,com.google.android.youtube,True,False,True,True,False,False,True,True,*gms_scheduler*:internal
1763733545522,1763733545536,14,3936,3332,834.966346,3.286428,0.003247,0.04601,com.google.android.youtube,True,False,True,True,False,False,True,True,*gms_scheduler*/com.google.android.gms/.languageprofile.GcmTaskService
1763733545536,1763733545738,202,3936,3332,834.966346,3.286428,0.046851,0.663858,com.google.android.youtube,True,False,True,True,False,False,True,True,RILJ_ACK_WL
1763733545738,1763733545746,8,3936,3332,834.966346,3.286428,0.001855,0.026291,com.google.android.youtube,True,False,True,True,False,False,True,True,*gms_scheduler*/com.google.android.gms/.languageprofile.GcmTaskService
1763733545746,1763733545748,2,3936,3332,834.966346,3.286428,0.000464,0.006573,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733545748,1763733545771,23,3936,3332,834.966346,3.286428,0.005335,0.075588,com.google.android.youtube,True,False,True,True,False,False,True,True,*gms_scheduler*:internal
1763733545771,1763733545779,8,3936,3332,834.966346,3.286428,0.001855,0.026291,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733545779,1763733545789,10,3936,3332,834.966346,3.286428,0.002319,0.032864,com.google.android.youtube,True,False,True,True,False,False,True,True,*gms_scheduler*:internal
1763733545789,1763733547729,1940,3936,3332,834.966346,3.286428,0.449954,6.375669,com.google.android.youtube,True,False,True,True,False,False,True,True,AudioMix
1763733547729,1763733548533,804,3936,3332,834.966346,3.286428,0.186476,2.642288,com.google.android.youtube,True,False,True,True,False,False,True,True,
1763733548533,1763733548737,204,3936,3332,834.966346,3.286428,0.047315,0.670431,com.google.android.youtube,True,False,True,True,False,False,True,True,RILJ_ACK_WL
1763733548737,1763733548860,123,3936,3332,834.966346,3.286428,0.028528,0.404231,com.google.android.youtube,True,False,True,True,False,False,True,True,
1763733548860,1763733548876,16,3936,3332,834.966346,3.286428,0.003711,0.052583,com.google.android.youtube,True,False,True,True,False,False,True,True,NetworkStats
1763733548876,1763733550236,1360,3936,3332,834.966346,3.286428,0.315432,4.469541,com.google.android.youtube,True,False,True,True,False,False,True,True,
1763733550236,1763733550237,1,3936,3332,834.966346,3.286428,0.000232,0.003286,com.google.android.youtube,True,False,True,True,False,False,True,True,
1763733550237,1763733550257,20,3936,3332,834.966346,3.286428,0.004639,0.065729,com.google.android.youtube,True,False,True,True,False,False,True,True,*telephony-radio*
